,Prediction Horizon,R2 Train,R2 Test,MSE Train,MSE Test
0,1,0.975,0.8,9163.13,74536.78
1,2,0.975,0.8,9278.81,74521.34
2,3,0.975,0.801,9342.78,74518.73
3,4,0.974,0.799,9440.08,75420.27
4,5,0.975,0.799,9432.91,75418.68
5,6,0.974,0.801,9631.69,74843.15
6,7,0.974,0.799,9799.6,75769.32
7,8,0.973,0.796,9892.22,76852.81
8,9,0.973,0.795,10002.05,77201.11
9,10,0.973,0.797,10190.98,76730.2
10,11,0.972,0.795,10321.9,77600.65
11,12,0.972,0.794,10393.86,77941.86
12,13,0.972,0.793,10528.64,78312.91
13,14,0.972,0.791,10628.91,79224.8
14,15,0.971,0.791,10763.23,79437.63
