,Country,Stringency param,Stringency std,Bias,Bias std,MSE Train,MSE Test,MAE Train,MAE Test,Population
29,China,-1.0,0.079,0.65,0.0017,47989090.82,1548.5,3282.21,30.97,1439323774.0
41,Turkey,-0.663,0.003,0.6,0.0014,120914273.98,16923132738.33,8378.17,100879.66,84339067.0
33,Iran,-0.652,0.002,0.5,0.0009,20163600.18,2021371438.96,3421.89,33760.06,83992953.0
50,Uruguay,-0.592,0.005,0.38,0.0013,5009.44,1311.72,55.16,25.29,3473727.0
3,Austria,-0.491,0.012,0.45,0.0019,1955608.79,676803.87,989.24,612.29,9006400.0
20,Portugal,-0.474,0.003,0.48,0.0018,9839357.03,703912238.95,2531.3,20716.27,10196707.0
18,Norway,-0.473,0.012,0.41,0.0018,488074.24,5869.5,559.46,70.88,5421242.0
26,Taiwan,-0.447,0.019,0.21,0.0034,1691.37,8236.02,31.73,74.26,23816775.0
17,Netherlands,-0.426,0.002,0.45,0.0011,6190175.22,80221839.62,1987.9,7086.27,17134873.0
23,"Korea, Republic of",-0.417,0.005,0.35,0.0016,320476.81,820.39,370.89,22.22,51269183.0
39,Peru,-0.408,0.004,0.5,0.0027,106622197.92,9947422108.9,8177.85,79055.84,32971846.0
16,Luxembourg,-0.404,0.003,0.41,0.0016,159238.51,8135808.78,324.99,2213.19,625976.0
5,Bulgaria,-0.38,0.006,0.41,0.0036,192802.05,516892049.1,363.84,15767.71,6948445.0
7,Denmark,-0.365,0.003,0.42,0.0015,664817.47,10924448.65,645.09,2669.14,5792203.0
37,New Zealand,-0.341,0.005,0.31,0.0008,12485.78,2335574.58,82.84,1088.34,4822233.0
13,Israel,-0.335,0.003,0.35,0.0012,1457766.36,4306566.1,949.25,1721.76,8655541.0
19,Poland,-0.332,0.001,0.4,0.0006,284484.02,862181570.23,373.58,21625.94,37846605.0
46,Ukraine,-0.331,0.003,0.42,0.0022,2445001.91,191604051.13,1258.2,10304.03,43733759.0
11,Greece,-0.329,0.002,0.34,0.0007,13783.28,234414.41,94.77,375.78,10423056.0
14,Italy,-0.307,0.002,0.37,0.0008,62290920.57,5149277210.57,5876.84,55297.59,60461828.0
42,Bangladesh,-0.29,0.004,0.39,0.003,12880328.32,30801585348.95,2646.42,132975.35,164689383.0
32,Guana,-0.289,0.004,0.33,0.002,7887.27,459879.63,70.8,546.84,5094114.0
43,Somalia,-0.274,0.004,0.32,0.0025,34884.92,1854057.05,151.88,1089.9,15893219.0
28,Colombia,-0.262,0.001,0.36,0.0006,169818.64,2088933.63,282.79,1314.49,50882884.0
38,Qatar,-0.257,0.002,0.36,0.0016,4054016.45,483066069.43,1542.77,17244.66,2881060.0
53,Pakistan,-0.25,0.002,0.34,0.0013,4960786.94,1963113641.16,1695.91,30558.33,220892331.0
24,Spain,-0.245,0.001,0.3,0.0004,53974493.18,134553229.37,5244.72,9732.93,46754783.0
10,Germany,-0.244,0.002,0.28,0.0004,24147204.99,191166841.25,3490.39,10971.58,83783945.0
22,South Africa,-0.214,0.001,0.33,0.0007,232703.7,232394141.25,374.99,11374.9,59308690.0
2,Australia,-0.214,0.003,0.23,0.0007,104293.95,13683.29,224.4,99.62,25499881.0
40,Sudan,-0.209,0.004,0.3,0.0027,143343.44,9183886.59,311.53,2439.57,43849269.0
0,United Kingdom,-0.197,0.001,0.26,0.0002,10314831.75,821395664.32,2151.83,22467.06,67886004.0
51,Venezuela,-0.191,0.005,0.27,0.003,18458.88,717363.2,109.41,650.19,28435943.0
31,Congo,-0.19,0.003,0.27,0.0018,2067.86,89410.21,35.41,258.46,5518092.0
4,Belgium,-0.187,0.002,0.26,0.0007,6968228.92,77747574.53,1930.46,7244.83,11589616.0
36,Mexico,-0.186,0.001,0.3,0.0006,2819414.94,1070483243.15,1229.34,24584.17,128932753.0
27,Chile,-0.185,0.002,0.29,0.0009,2458626.42,970966835.53,1166.23,22673.94,19116209.0
1,United States,-0.181,0.002,0.28,0.0007,1264588628.44,64626478430.05,23763.37,202126.16,331002647.0
48,Yemen,-0.178,0.003,0.27,0.0022,7698.44,2170307.24,71.49,1106.56,29825968.0
45,Senegal,-0.174,0.003,0.27,0.0021,46810.08,2125864.87,163.11,1125.5,16743930.0
9,France,-0.17,0.003,0.26,0.0011,127351283.18,2521393568.4,7225.15,40925.85,67564251.0
25,Sweden,-0.154,0.001,0.23,0.0002,97865.91,2849727.6,211.97,1356.97,10099270.0
15,Japan,-0.152,0.005,0.24,0.002,426949.61,40761686.36,444.81,5173.64,126476458.0
35,Kenya,-0.151,0.002,0.26,0.0014,5320.01,636269.14,54.5,624.63,53771300.0
47,Vietnam,-0.146,0.005,0.18,0.0018,430.86,59.15,16.11,6.38,97338583.0
49,Oman,-0.125,0.002,0.23,0.0008,28390.54,1571929.84,115.54,926.99,5106622.0
8,Finland,-0.119,0.002,0.21,0.0006,35646.78,1243817.84,150.68,900.52,5540718.0
6,Canada,-0.118,0.002,0.22,0.0005,3011782.22,325088677.34,1181.42,14293.01,37742157.0
30,Egypt,-0.108,0.0,0.22,0.0002,9749.15,4922024.05,61.83,2036.81,102334403.0
21,Russia,-0.079,0.002,0.22,0.0008,16268773.63,25767183691.29,2752.15,120976.2,145934460.0
52,United Arab Emirates,-0.074,0.002,0.19,0.0007,253643.42,32084465.31,351.75,4328.72,9890400.0
12,India,-0.073,0.001,0.21,0.0005,880172.6,496720796.3,623.74,16766.18,1380004385.0
34,Libya,-0.034,0.006,0.16,0.0047,1271.86,34526.39,28.58,122.11,6871287.0
44,Singapore,-0.023,0.004,0.17,0.0008,336970.87,248551874.96,317.97,12276.81,5850343.0
